platform,best_page_name,rank,brand_name,product_name,category_large,category_medium,category_small,category_path,price,discount_rate,like_count,review_count,review_score,item_url,thumbnail_url,collected_at
29CM,전체,1,그노노이,밍크 기모 스트레이트 데님 (Light Blue),여성의류,바지,데님,여성의류 > 바지 > 데님,49870,34,1359,16,5.0,https://product.29cm.co.kr/catalog/3665527,https://img.29cm.co.kr/item/202512/11f0da377698ff10a3c0c117ae2c1323.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,2,얀13,BOA FLEECE PADDING JACKET_3 COLOR,여성의류,아우터,숏패딩,여성의류 > 아우터 > 숏패딩,106200,55,24307,174,4.5,https://product.29cm.co.kr/catalog/947552,https://img.29cm.co.kr/next-product/2021/01/12/62e75243675e48a78dc636992748c3be_20210112201551.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,3,르,[은현 PICK] vintage fur half coat (beige),여성의류,아우터,하프코트,여성의류 > 아우터 > 하프코트,122230,69,14309,159,4.5,https://product.29cm.co.kr/catalog/2960683,https://img.29cm.co.kr/item/202512/11f0db2a14c883d8a3c02f0e39cdbc9d.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,4,오떼뜨,"[12/30 예약배송] [여울,알로하 착용] [23rd] BOUCLE RAM HALF FUR-COAT_BEIGE",여성의류,아우터,퍼 재킷,여성의류 > 아우터 > 퍼 재킷,230400,20,29317,748,5.0,https://product.29cm.co.kr/catalog/2892735,https://img.29cm.co.kr/item/202511/11f0baaa17fe8c51938051050108e7e7.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,5,시야쥬,SIOT4010 Duck Down Crop PD_Ivory,여성의류,단독,,여성의류 > 단독,114460,42,21035,1072,4.5,https://product.29cm.co.kr/catalog/2312350,https://img.29cm.co.kr/item/202512/11f0d0d9e7ec29dbab9db33838e2930e.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,6,하네,[29CM 단독] [커치프 SET] 에센셜 라운드 가디건 10Color,여성의류,단독,아우터,여성의류 > 단독 > 아우터,50400,46,30879,1306,5.0,https://product.29cm.co.kr/catalog/3410043,https://img.29cm.co.kr/item/202508/11f08478f8ce31cbab5d517f784dc080.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,7,오프아워,(w) 세린 나이트 수면 잠옷 세트 3colors,여성의류,홈웨어,세트,여성의류 > 홈웨어 > 세트,23050,48,26188,2461,5.0,https://product.29cm.co.kr/catalog/2777243,https://img.29cm.co.kr/item/202510/11f09e6862cec264be46ed2459c135f1.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,8,몽돌,[묵화 PICK] 소프트 코튼 V넥 니트 탑 MDKT127_7 Colors,여성의류,니트웨어,브이넥,여성의류 > 니트웨어 > 브이넥,37170,37,15361,110,4.5,https://product.29cm.co.kr/catalog/3440399,https://img.29cm.co.kr/item/202509/11f09cf5a4b57042a4cd075a1a92cf8c.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,9,아틀리에 나인,[29CM 단독] FLUFFY WOOL BOUCLE COAT(CT-1470),여성의류,아우터,숏코트,여성의류 > 아우터 > 숏코트,222610,25,7959,42,5.0,https://product.29cm.co.kr/catalog/3563122,https://img.29cm.co.kr/item/202512/11f0dbb6257e4be6a3c02343b1826e7c.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,10,로우,[5th_1/6 예약배송] Teddy fleece anorak_navy stripe,여성의류,아우터,플리스,여성의류 > 아우터 > 플리스,109000,0,8693,47,5.0,https://product.29cm.co.kr/catalog/3638661,https://img.29cm.co.kr/item/202511/11f0c03affb14929a563cbe2f0c50560.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,11,닉앤니콜,[ESSENTIAL] HIGH NECK SLIM TOP_12 COLOR,여성의류,상의,긴소매 티셔츠,여성의류 > 상의 > 긴소매 티셔츠,20480,47,14404,1714,4.5,https://product.29cm.co.kr/catalog/870460,https://img.29cm.co.kr/next-product/2020/10/23/4b87c00d92db46efa172098182adb17a_20201023151321.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,12,르,[은현 PICK] wool double-breasted coat (melange gray),여성의류,아우터,롱코트,여성의류 > 아우터 > 롱코트,186270,59,7074,36,5.0,https://product.29cm.co.kr/catalog/3599047,https://img.29cm.co.kr/item/202511/11f0b867a7ab9ed68388f5d28f9eccc5.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,13,스텝어라운드,[융기모]Fleece Lined Bootcut Banding Pants_BLACK,여성의류,바지,트레이닝,여성의류 > 바지 > 트레이닝,53550,37,1928,52,5.0,https://product.29cm.co.kr/catalog/3610556,https://img.29cm.co.kr/item/202512/11f0d4a51d9df9a2a3c00968498bc2cb.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,14,파사드패턴,[일부옵션 8차 2/4예약배송] 램스울 퍼 하프 코트_brown,여성의류,아우터,퍼 재킷,여성의류 > 아우터 > 퍼 재킷,398000,0,18146,114,5.0,https://product.29cm.co.kr/catalog/2923189,https://img.29cm.co.kr/item/202411/11ef9b2f4ac4470fb65c11eedc340286.jpg,2025-12-24T02:51:00.386137+09:00
